States Strict on Abortion,Child Poverty,States,Child Poverty ,,,,,
Alabama,21.00,California,16.00,,,,,
Arizona,19.00,Colorado,11.00,,,,,
Arkansas,22.00,Connecticut,14.00,,,,,
Georgia,19.00,District of Columbia,19.00,,Minimum,Lower quartile,upper quartile,Maximum
Idaho,13.00,Hawaii,12.00,States Strict On Abortion,10.00,14.25,20,28.00
Iowa,13.00,Illinois,16.00,The Rest of the States,7.00,12,16.25,25.00
Kentucky,22.00,Indiana,15.00,,,,,
Louisiana,27.00,Maine,14.00,,,,,
Michigan,18.00,Maryland,12.00,,,,,
Mississippi,28.00,Massachusetts,12.00,,,,,
Missouri,17.00,Minnesota,11.00,,,,,
North Dakota,10.00,Montana,15.00,,,,,
Ohio,18.00,Nebraska,11.00,,,,,
Oklahoma,20.00,Nevada,17.00,,,,,
South Carolina,20.00,New Hampshire,7.00,,,,,
South Dakota,15.00,New Jersey,12.00,,,,,
Tennessee,20.00,New Mexico,25.00,,,,,
Texas,19.00,New York,18.00,,,,,
Utah,10.00,North Carolina,20.00,,,,,
West Virginia,20.00,Oregon,13.00,,,,,
Wisconsin,14.00,Pennsylvania,17.00,,,,,
Wyoming,12.00,Rhode Island,14.00,,,,,
,,Vermont,10.00,,,,,
,,Virginia,13.00,,,,,
,,Washington,12.00,,,,,
,,Florida ,18.00,,,,,
,,Kansas,15.00,,,,,
,,Delaware,16.00,,,,,
,Test Group Average,,Control Group Average,,,,,
,18.05,,14.46,14.46,,,,
,Standard Deviation,,Standard Deviation,,,,,
,4.785665826,,3.753152521,,,,,
,TTest,,,,,,,
,0.005941128847,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,Test Group ,,,,,,,
,Average,18.05,,,,,,
,Standard Deviation,4.786,,,,,,
,,,,Data for Box Plot,,,,
,Control Group,,,,,,,
,Average,14.46,,,,,,
,Standard Deviation,3.753,,,,,,
,,,,,,,,
,P-value,0.005941128847,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,Pre-Roe Ban,Trigger Ban,Near Total Ban,6 week ban,8 week ban,State constitution bars protection,,
Alabama,1,0,1,0,0,1,,
Arizona,1,0,0,0,0,0,,
Arkansas,1,1,1,0,0,0,,
Georgia,0,0,0,1,0,0,,
Idaho,0,1,0,1,0,0,,
Iowa,0,0,0,1,0,0,,
Kentucky,0,1,0,1,0,0,,
Louisiana,0,1,1,1,0,1,,
Michigan,1,0,0,0,0,,,
Mississippi,1,1,,1,,,,
Missouri,,1,,,1,,,
North Dakota,,1,,1,,,,
Ohio,,,,1,,,,
Oklahoma,1,1,1,1,,,,
South Carolina,,,,,,,,
South Dakota,,,,1,,,,
Tennessee,,1,,1,,1,,
Texas,1,1,,1,,,,
Utah,,1,1,,,,,
West Virginia,1,,,,,1,,
Wisconsin,1,,,,,,,
Wyoming,,1,,,,,,
,9,12,5,12,1,4,,
,,,,,,,,
,Pre Roe Ban,9,,,,,,
,Trigger Ban,12,,,,,,
,Near Total Ban,5,,,,,,
,6 week ban,12,,,,,,
,8 week ban,1,,,,,,
,State Constitution Bars Protection,4,,,,,,
